judul,penyanyi,tahun_rilis,label,genre,lirik,link
Ku Ucap Syukur,Mona Latumahina,2015,Pelita Utama,Pop Kontemporer,Ku menatap jalan Hidupku ini Dengan selalu bersyukur Kepada-Mu Tuhanku ## Karena kasih-Mu Tak pernah berkesudahan Di dalam hidupku Ya Tuhan Reff. Ku ucap syukur kepada-Mu Sebab Kau baik Tuhan Kasih setia-Mu yang kau berikan Tulus dan tak bercela Hanya pada-Mu Tuhan Aku panjatkan doa S'bab hanya Kau Yang mengerti akan aku, https://www.youtube.com/watch?v=k-_LXDrAEqA&ab_channel=PelitaUtama
Sadar,Putri Siagian,2022,Media Berkat Nusantara,Pop,"Jangan ada di hatimu berkata engkau masih muda Karnanya nanti esok tak tau apa yang terjadi Haruslah kau sadari hidup ini sementara Mari kayuhkan langkahmu, serahkan jiwa dan ragamu Pujilah nama Tuhan bagi kemuliaanNya Reff: Sekarang kini dan selamanya sama saja Mengapa kau berdalih hindari panggilanNya Sadar Sadar Kau belum terlambat Sadar Sadar Datang padaNya", https://www.youtube.com/watch?v=jFe2EjBa-IY&ab_channel=HosanaChannel
Yesus Hanya Sejauh Doa,Nikita,2023,Maranatha Indonesia,Pujian dan Penyembahan,Bila kau rasa gelisah di hatimu Bila kelam kabut tak menentu hidupmu Ingat masih ada sorang pnolong bagimu Yesus tak pernah jauh darimu Bila cobaan menggodai hatimu Bila sengsara menimpa keadaanmu Ingat Yesus tak kan pernah jauh darimu Dia slalu perdulikan kamu Berseru memanggil namaNya Berdoa Dia kan segra menghampiri dirimu Percaya Yesus tak jauh darimu Dia hanya sejauh doa,https://www.youtube.com/watch?v=gwT5ui6WlIw&ab_channel=MaranathaindonesiaOfficial
Harap Akan Tuhan,Yan Berlin Panjaitan,2010,Maranatha Indonesia,Hymne,"Harap akan Tuhan, hai jiwaku! Dia perlindungan dalam susahmu. Jangan resah, tabah berserah, kar’na habis malam pagi merekah. Dalam derita dan kemelut Tuhan yang setia, Penolongmu! Harap akan Tuhan, hai jiwaku! Dia perlindungan dalam susahmu. Walau sendu, hatimu remuk, Tuhan mengatasi tiap kemelut. Ya Tuhan, tolong ‘ku yang lemah: setiaMu kokoh selamanya!  Harap akan Tuhan, hai jiwaku! Dia perlindungan dalam susahmu. Jalan sedih nanti berhenti; Yesus memberikan hidup abadi. Habis derita di dunia,purna sukacita. Haleluya!",https://www.youtube.com/watch?v=nxkxGwFxxWE&ab_channel=MaranathaindonesiaOfficial
Layak Dipuji Disembah - Live,NDC Worship,2019,NDC Worship,Pujian,Alam semesta Melukiskan kebesaran Tuhan Bumi dan Surga Menyanyikan kemuliaan namaMu Hosana.. hosana.. Layak dipuji disembah Kaulah yang bertahta Dulu skarang dan slamanya Raja atas sgala raja NamaMu besar termulia,https://www.youtube.com/watch?v=unFwp8DvIek&ab_channel=NDCWorship 
Yesus Menginginkan Daku - Pop Rohani KK 583,"IGNITE GKI, Gloria Tubi Domine Ensemble, Priliana Merdika, Rey Nugroho",2023,Ignite GKI,Hymne,"Yesus menginginkan daku bersinar bagi-Nya, di mana pun ‘ku berada, ‘ku mengenangkanNya. Refrein: Bersinar, bersinar; itulah kehendak Yesus; bersinar, bersinar, aku bersinar terus. BAIT 2: Yesus menginginkan daku menolong orang lain,manis dan sopan selalu, ketika ‘ku bermain. Reff: ... BAIT 3: Ku mohon Yesus menolong menjaga hatiku. agar bersih dan bersinar meniru Tuhanku. BAIT 4: Aku pun ingin bersinar dan melayaniNya, hingga di sorga ‘ku hidup senang bersama-Nya.",https://www.youtube.com/watch?v=97yvBeHrCbM&ab_channel=IGNITEGKI
Dia Mengerti,Maria Shandi,2014,Impact Music,Pop Kontemporer,"Terkadang kita merasa Tak ada jalan terbuka Tak ada lagi waktu Terlambat sudah Tuhan tak pernah berdusta Dia s'lalu pegang janji-Nya Bagi orang percaya Mujizat nyata Reff: Dia mengerti, Dia peduli Persoalan yang sedang terjadi Dia mengerti, Dia peduli Persoalan yang kita alami Namun satu yang dia minta Agar kita percaya Sampai mujizat menjadi nyata",https://www.youtube.com/watch?v=aQXfmKkWPEU&ab_channel=ImpactMusicIndonesia
Tiap Langkahku,Herlin Pirena,2013,Maranatha Indonesia,Hymne,Tiap langkahku diatur oleh Tuhan dan tangan kasihNya memimpinku ditengah badai dunia menakutkan hatiku tetap tenang teduh tiap langkahku kutahu yang Tuhan pimpin ketempat tinggi ku dihantarNya hingga sekali nanti aku tiba dirumah Bapa surga yang baka diwaktu imanku mulai goyah dan bila jalanku hampir sesat kupandang Tuhanku penebus dosa kuteguh sebab Dia dekat didalam Tuhan saja harapanku sebab ditanganNya sejahtera dibukaNya yerusalem yang baru kota Allah suci mulia,https://www.youtube.com/watch?v=2AJUo9YHDRA&ab_channel=MaranathaindonesiaOfficial 
Roh Kudus Kau Hadir Disini,Talita Doodoh,1994,Maranatha Indonesia,Pop Kontemporer,Roh Kudus Kau hadir disini Roh Kudus ku mengasihiMu Kau lembut Kau manis Kaulah penghiburku penolongku diutus Bapaku kubuka hati untuk RohMu Tuhan kubuka hati menyembahMu Yesus jamahlah kami penuhi kami dengan kuasa Allah Mahatinggi,https://www.youtube.com/watch?v=viN8V3HJerc&ab_channel=MaranathaindonesiaOfficial
Tuhan Selalu Menolongku,Clarisa Dewi,2019,Impact Music,Pop Kontemporer,"Musim akan selalu berganti Kasih Tuhan tetap abadi Tak akan berubah, sampai selamanya Ku tetap percaya Kuyakin Tuhan memberkati Ku yakin Tuhan melindungi Burung di udara Tuhan pelihara Karena kasih-Nya. Tuhan selalu menolongku Selalu menjagaku Sehelai di rambutku Tak akan terjatuh tanpa seizin-Mu. Tuhan selalu menolongku Selalu menjagaku Dia mengenyangkanku dan peliharaku Seumur hidupku",https://www.youtube.com/watch?v=qaf0E0PXOEQ&ab_channel=ImpactMusicIndonesia 
El Shaddai,Putri Siagian,2023,Sion Production,Pujian dan Penyembahan,"Tak usah ku takut, Allah menjagaku Tak usah ku bimbang, Yesus peliharaku Tak usah ku susah, Roh Kudus hiburku Tak usah ku cemas, Dia memberkatiku El Shaddai, El Shaddai, Allah maha Kuasa Dia besar, Dia besar, El Shaddai mulia El Shaddai, El Shaddai, Allah maha kuasa Berkatnya melimpah, El Shaddai Tak usah ku susah, Roh Kudus hiburku Tak usah ku cemas, Dia memberkatiku El Shaddai, El Shaddai, Allah maha Kuasa Dia besar, Dia besar, El Shaddai mulia El Shaddai, El Shaddai, Allah maha kuasa Berkatnya melimpah, El Shaddai Berkatnya melimpah, El Shaddai",https://www.youtube.com/watch?v=aUHydUFNASE&ab_channel=SionProduction
Mengalirlah Kuasa Roh Kudus,Putri Siagian,2023,Sion Production,Pop Kontemporer,Bagaikan tanah kering Yang merindukan air Demikianlah jiwaku Haus akan Engkau Ku rindu selalu Hadir-Mu di hidupku Memulihkan jiwaku Hapuskan air mataku Mengalirlah kuasa Roh Kudus Mengalirlah di tempat ini Mengalirlah oh Roh Kudus Di hidupku.. Ku rindu selalu Hadir-Mu di hidupku Memulihkan jiwaku Hapuskan air mataku Mengalirlah kuasa Roh Kudus Mengalirlah di tempat ini Mengalirlah oh Roh Kudus Pulihkanku.. Mengalirlah kuasa Roh Kudus Mengalirlah di tempat ini Mengalirlah oh Roh Kudus Pulihkanku.. Mengalirlah kuasa Roh Kudus Mengalirlah di tempat ini Mengalirlah oh Roh Kudus Di hidupku..  Mengalirlah oh Roh Kudus Di hidupku.. ,https://www.youtube.com/watch?v=NpvJ3Zm0jmc&ab_channel=SionProduction
Briku Hati,Rendy Aprillio,2017,BHK Record,Hymne,B'riku hati untuk menyembah-Mu b'riku hati untuk mengasihi-Mu b'riku hati memuji-Mu dan mengasihi Engkau s'perti wanita yang datang mengurapi-Mu,https://www.youtube.com/watch?v=hwnC6mA1AX4&ab_channel=BHKRecord 
Mengampuni,"Maria Shandi, Jason Irwan",2012,Impact Music,Gospel,Ketika hatiku t’lah disakiti Ajarku memberi hati mengampuni Ketika hidupku t’lah dihakimi Ajarku memberi hati mengasihi Ampuni bila kami tak mampu mengampuni Yang bersalah kepada kami Seperti hati Bapa mengampuni Mengasihi tiada pamrih,https://www.youtube.com/watch?v=s-IdI40SRmI&ab_channel=ImpactMusicIndonesia 
Sungguh Indah Kabar Mulia,Eldhy Victor,2022,EVT Music Pro,Hymne,"SUNGGUH INDAH KABAR MULIA HAI PERCAYALAH! YESUS KRISTUS TAK BERUBAH S’LAMA-LAMANYA! DARAHNYA TETAP MENGHAPUS DOSA DAN CELA. IA HIBUR YANG BERDUKA. PUJI NAMANYA! BAIK KEMARIN, HARI INI, S’LAMA-LAMANYA YESUS KRISTUS TAK BERUBAH, PUJI NAMANYA! PUJI NAMANYA, PUJI NAMANYA! YESUS KRISTUS TAK BERUBAH, PUJI NAMANYA! IA CARI YANG BERDOSA, CARI DIKAU PUN. DATANGLAH, RENDAHKAN HATI, S’RAHKAN DIRIMU! DULUKALA IA SAMBUT ORANG BERCELA; KINI DIKAU PUN DISAMBUT, DIAMPUNINYA.", https://www.youtube.com/watch?v=hyjkGsYHun8&ab_channel=EldhyVictor-Topic
Sentuh Hatiku,Maria Shandi,2012,Impact Music,Pujian dan Penyembahan,"Betapa kumencintai Segala yang t'lah terjadi Tak pernah sendiri jalani hidup ini Selalu menyertai Betapa kumenyadari Di dalam hidupku ini Kau slalu memberi rancangan terbaik  Oleh karena kasih Bapa, sentuh hatiku Ubah hidupku menjadi yang baru Bagai emas yang murni Kau membentuk bejana hatiku Bapa, ajarku mengerti Sebuah kasih yang selalu memberi Bagai air mengalir Yang tiada pernah berhenti",https://www.youtube.com/watch?v=0L7gm4Qo7ow&ab_channel=ImpactMusicIndonesia 
Hati Sebagai Hamba,Nikita,2014,Maranatha Indonesia,Pujian dan Penyembahan,Ku tak membawa apapun juga  saat ku datang ke dunia ku tinggal semua pada akhirnya saat ku kembali ke surga inilah yang ku punya hati sebagai hamba yang mau taat dan setia padaMu Bapa kemana pun ku bawa hati yang menyembah dalam Roh dan kebenaran sampai selamanya,https://www.youtube.com/watch?v=N0Ku1es5cfs&ab_channel=MaranathaindonesiaOfficial 
PertolonganMu,Citra Scholastika,2013,Impact Music,Pujian dan Penyembahan,Hatiku tenang berada dekat-Mu Kaulah jawaban hidupku Hatiku tenang berada dekat-Mu Kau yang plihara hidupku Pertolongan-Mu begitu ajaib Kau t'lah memikat hatiku Disaat aku tak sanggup lagi Disitu tangan-Mu bekerja Pertolongan-Mu begitu ajaib Kau t'lah memikat hatiku Kini mataku tertuju pada-Mu Kurasakan kasih-Mu Tuhan,https://www.youtube.com/watch?v=M_JuSEzL-5Q&ab_channel=ImpactMusicIndonesia 
Selidiki Aku,Nikita,2008,Maranatha Indonesia,Pujian dan Penyembahan,Selidiki aku lihat hatiku apakah ku sungguh mengasihiMu Yesus Kau yang maha tahu  dan menilai hidupku tak ada yang tersembunyi bagiMu Telah kulihat kebaikanMu yang tak pernah habis dihidupku ku berjuang sampai akhirnya Kau dapati aku tetap setia,https://www.youtube.com/watch?v=BHofn72YAeI&ab_channel=MaranathaindonesiaOfficial 
Indahnya Saat Yang Teduh,Eldhy Victor,2022,EVT Music Pro,Hymne,"INDAHNYA SAAT YANG TEDUH MENGHADAP TAKHTA BAPAKU: KUNAIKKAN DOA PADANYA, SEHINGGA HATIKU LEGA. DI WAKTU BIMBANG DAN GENTAR, JIWAKU AMAN DAN SEGAR; KU BEBAS DARI SETERU DI DALAM SAAT YANG TEDUH. INDAHNYA SAAT YANG TEDUH DENGAN BAHAGIA PENUH. BETAPA RINDU HATIKU KEPADA SAAT DOAKU. BERSAMA ORANG YANG KUDUS KUCARI WAJAH PENEBUS; DENGAN GEMBIRA DAN TEGUH KUNANTI SAAT YANG TEDUH. DENGAN GEMBIRA DAN TEGUH KUNANTI SAAT YANG TEDUH", https://www.youtube.com/watch?v=anZhWrh5CnY&ab_channel=EldhyVictor-Topic
Yesus Tuhan & Allah Kami,Ir. Niko,1992,Maranatha Indonesia,Pujian dan Penyembahan,Yesus Tuhan dan Allah kami Engkau layak menerima pujian hormat dan kuasa sebab Kau t'lah ciptakan segalanya oleh kar'na kehendakMu semuanya itu telah ada dan di ciptakan untuk kemuliaanMu terpujilah Tuhan Hosana Terpujilah Tuhan Terpujilah Tuhan Yesus,https://www.youtube.com/watch?v=-44P7O4_Ryw&ab_channel=MaranathaindonesiaOfficial  
Sungguh Lembut Tuhan Yesus Memanggil,Gloria Trio,2013,Maranatha Indonesia,Hymne,"Sungguh lembut Tuhan Yesus memanggil Memanggil aku dan kau Lihatlah Dia prihatin menunggu Menunggu aku dan kau Hai mari datanglah, kau yang lelah, mari datanglah Sungguh lembut Tuhan Yesus memanggil kau yang sesat marilah Janganlah ragu, Tuhanmu mengajak Mengajak aku dan kau. Jangan enggan menerima kasihNya Terhadap aku dan kau. Yesus berjanji memberikan kasihNya kepada aku dan kau Dia mengampuni orang berdosa seperti aku dan kau",https://www.youtube.com/watch?v=5oHVY7xZx1o&ab_channel=MaranathaindonesiaOfficial 
Ku Berbahagia,Gloria Trio,2013,Maranatha Indonesia,Hymne,"Kuberbahagia yakin teguh, Yesus abadi kepunyaanku, aku warisNYA, ku ditebus, ciptaan baru Rohul Kudus. aku bernyanyi Bahagia, memuji Yesus selamanya, pasrah sempurna, nikmat penuh, suka sorgawi melimpahiku, lagu malaikat amat merdu, kasih dan rahmat besertaku. aku serahkan diri penuh, dalam Tuhanku hatiku teduh, sambil menyongsong kembaliNya, ku diliputi anugerah.", https://www.youtube.com/watch?v=hndnjGhtM6c&ab_channel=MaranathaindonesiaOfficial
Ya Tuhan Tiap Jam,Gloria Trio,2011,Maranatha Indonesia,Hymne,"Ya Tuhan, tiap jam, ku memerlukanMu, Engkaulah yang memberi, sejahtera penuh. Setiap jam, ya Tuhan, Dikau ‘ku perlukan, ku datang, Juruselamat, berkatilah.",https://www.youtube.com/watch?v=-74jjlKVSik&ab_channel=MaranathaindonesiaOfficial 
Saat Ku MenyembahMu,Hosana Singers,2011,Maranatha Indonesia,Pujian dan Penyembahan,Saat ku menyembahMu rohMu bekerja saat ku memujiMu Kau bertahta di atas pujian ku angkat hatiku ku pandang kekudusanMu saat ku sembah ku pujiMu ku rasakan kehadiranMu Tuhan,https://www.youtube.com/watch?v=1vR_mgz8U7w&ab_channel=MaranathaindonesiaOfficial 
Hanya Dekat Allah Saja,Yehuda Singers,2012,Maranatha Indonesia,Hymne,Hanya dekat Allah saja aku tenang daripadaNya lah keselamatanku. Hanya Dia gunung batuku hanya Dia kota bentengku aku tidak akan goyah selama - lamanya,https://www.youtube.com/watch?v=6MJVVGurcwU&ab_channel=MaranathaindonesiaOfficial 
KasihMu Mengalir,Finna Arifin,2024,Maranatha Indonesia,Pujian dan Penyembahan,Kubuka hatiku untukMu Tuhan Dengan Roh KudusMu Agarku dapat mengerti RencanaMu yang indah Di dalam hidupku BagiMu Tuhan Barui Aku  dengan Roh yang takut ubah hatiku jadikan baru agarku dapat menyenangkanMu KasihMu mengalir Mengalir di dalam hatiku KasihMu mengalir Mengalir di dalam hidupku Agar aku dapat memancarkan kasihMu di dalam seluruh kehidupanku,https://www.youtube.com/watch?v=2Opddoivsnc&ab_channel=MaranathaindonesiaOfficial 
Bila Kulihat Bintang Gemerlapan,Nikita,2013,Maranatha Indonesia,Hymne,"Bila kulihat bintang gemerlapan dan bunyi guruh riuh kudengar Ya Tuhanku, tak putus aku heran melihat ciptaaanMu yang besar Maka jiwaku pun memujiMu Sungguh besar Kau Allahku Maka jiwaku pun memujiMu Sungguh besar Kau Allahku Ya Tuhanku, pabila kurenungkan pemberianMu dalam Penebus ku tertegun bagiku dicurahkan oleh PutraMu darahNya kudus Maka jiwaku pun memujiMu Sungguh besar Kau Allahku Maka jiwaku pun memujiMu Sungguh besar Kau Allahku Sungguh besar Kau Allahku",https://www.youtube.com/watch?v=s7zaYMpGRss&ab_channel=MaranathaindonesiaOfficial 
Yesus Segala-galanya,Eldhy Victor,2022,EVT Media Kreatif,Hymne,"Yesus segala-galanya, Mentari hidupku. Sehari-hari Dialah Penopang yang teguh. Bila ‘ku susah, berkesah, Aku pergi kepadaNya: Sandaranku, Penghiburku, Sobatku. Yesus segala-galanya, setia padaku; tak akan ‘ku menyangkalNya, Teman setiaku. BersamaNya ‘ku tak sesat, Ia menjagaku tetap: Ia tetap Kawan erat, Sobatku.", https://www.youtube.com/watch?v=r9b7K1DcyaQ&ab_channel=EldhyVictorOfficial
Kau Yang Terindah,Lex's Trio,2020,Maranatha Indonesia,Pujian dan Penyembahan,KAU YANG TERINDAH DI DALAM HIDUP INI TIADA ALLAH TUHAN YANG SEPERTI ENGKAU BESAR PERKASA PENUH KEMULIAAN KAU YANG TERMANIS DI DALAM HIDUP INI KUCINTA KAU LEBIH DARI SEGALANYA BESAR KASIH SETIA-MU KEPADAKU KUSEMBAH KAU YA ALLAHKU KUTINGGIKAN NAMA-MU SELALU TIADA LUTUT TAK BERTELUT MENYEMBAH YESUS TUHAN RAJAKU KUSEMBAH KAU YA ALLAHKU KUTINGGIKAN NAMA-MU SELALU TIADA LIDAH TAK MENGAKU ENGKAULAH YESUS TUHAN RAJAKU TIADA LIDAH TAK MENGAKU ENGKAULAH YESUS TUHAN RAJAKU,https://www.youtube.com/watch?v=QAGI9h9Lvlg&ab_channel=MaranathaindonesiaOfficial 
Yesus Benteng Hidupku,Ir. Niko,1992,Maranatha Indonesia,Pujian dan Penyembahan,Yesus oh Yesus ada kuasa didalam namaMu Yesus oh Yesus ada kuasa didalam darahMu Kau benteng hidupku menara kekuatanku bersamaMu aku takkan goyah Yesus oh Yesus Engkau perlindungan hidupku,https://www.youtube.com/watch?v=5iD4ZTPlzmM&ab_channel=MaranathaindonesiaOfficial 
Andaikan Ku Harus Memilih,Regina Pangkerego,2018,Maranatha Indonesia,Pujian dan Penyembahan,kasih setiaMu Tuhan lebih dari hidupku jalan - jalanMu ya Tuhan terbaik bagiku Dari s'mua yang Kau katakan tiada dusta kutemui Dari s'mua yang Kau janjikan tiada yang tak terpenuhi Andaikan ku harus memilih tetap hatiku padaMu Tak satupun dapat menggantikanMu hanya Kau yang berarti bagiku Lebih dari semua yang ada Kaulah segalanya bagiku Tak ingin ku berpaling dariMu s'lamanya ku akan menyembahMu Tuhan, https://www.youtube.com/watch?v=jmp730mJLL4&ab_channel=MaranathaindonesiaOfficial
Ku Tak Akan Menyerah,Putri Siagian,2021,Sion Production,Pujian dan Penyembahan,Dalam s'gala perkara Tuhan punya rencana Yang lebih besar dari semua yang terpikirkan Apapun yang Kau perbuat Tak ada maksud jahat Sebab itu kulakukan Semua dengan-Mu Tuhan Ku tak akan menyerah pada apapun juga Sebelum ku coba semua yang ku bisa Tetapi ku berserah kepada kehendak-Mu Hatiku percaya Tuhan punya rencana Apapun yang Kau perbuat Tak ada maksud jahat Sebab itu kulakukan Semua dengan-Mu Tuhan Ku tak akan menyerah pada apapun juga Sebelum ku coba semua yang ku bisa Tetapi ku berserah kepada kehendak-Mu Hatiku percaya Tuhan punya rencana Ku tak akan menyerah pada apapun juga Sebelum ku coba semua yang ku bisa Tetapi ku berserah kepada kehendak-Mu Hatiku percaya Tuhan punya rencana Ku tak akan menyerah pada apapun juga Sebelum ku coba semua yang ku bisa Tetapi ku berserah kepada kehendak-Mu Hatiku percaya Tuhan punya rencana Hatiku percaya Tuhan punya rencana.., https://www.youtube.com/watch?v=Oqynos4qCVI&ab_channel=SionProduction
Tak Berhenti Percaya,Putri Siagian,2020,Sion Production,Pujian dan Penyembahan,Tak sekalipun melupakanku Kau menuntun langkahku Ku tak pernah sendiri Kau tak tinggalkanku Tak sekalipun melupakanku Kau menuntun langkahku Ku tak pernah sendiri Kau tak tinggalkanku Ku tak akan pernah menyerah Sampai kulihat Kau bekerja Ku percaya mukjizat kan nyata Ku takkan berhenti percaya Ku tak akan pernah menyerah Sampai kulihat Kau bekerja Ku percaya mukjizat kan nyata Ku takkan berhenti percaya Ku tak akan pernah menyerah Sampai ku lihat Kau bekerja Ku percaya mukjizat kan nyata Ku takkan berhenti percaya Ku takkan berhenti percaya Ku takkan berhenti percaya,https://www.youtube.com/watch?v=U2qxCEA2Pik&ab_channel=SionProduction 
Yesus Tuhan Yang Aku Sembah,Putri Siagian,2023,Media Berkat Nusantara,Pop Kontemporer,Bagaikan sunga yang mengalir Begitu juga kasihmu Tuhan Setiamu padaku tak ada batasnya Kasihmu melebihi yang kuminta Kau buatku mengerti arti bersyukur Kau ajari aku untuk mengasihi Jalan hidupku kutaruh padamu Jadilah sesuai kehendakmu Tuhan Ku tak bisa hidup tanpa kau Tuhan Kukehilangan arah bila jauh dariMu Hanya kaulah Tuhan tempat aku mengadu Hanya kaulah jalan kebenaran dan hidup Terpujilah namamu Dibumi maupun di surga Yang layak kusembah hanya Yesus Tuhanku,https://www.youtube.com/watch?v=VuF6V4oUv4c&ab_channel=HosanaChannel 
Harap Akan Tuhan - Pop Rohani KK 640 - Live,"IGNITE GKI, GKI Pengampon",2024,Ignite GKI,Pop,"(VERSE 1) Harap akan Tuhan, hai jiwaku! Dia perlindungan dalam susahmu. Jangan resah, tabah berserah, kar’na habis malam pagi merekah. Dalam derita dan kemelut Tuhan yang setia, Penolongmu! (VERSE 2) Harap akan Tuhan, hai jiwaku! Dia perlindungan dalam susahmu. Walau sendu, hatimu remuk, Tuhan mengatasi tiap kemelut. Ya Tuhan, tolong ‘ku yang lemah:setia-Mu kokoh selamanya! (VERSE 3) Harap akan Tuhan, hai jiwaku! Dia perlindungan dalam susahmu. Jalan sedih nanti berhenti; Yesus memberikan hidup abadi. Habis derita di dunia, purna sukacita. Haleluya! (Ending) Purna sukacita. Haleluya!",https://www.youtube.com/watch?v=WJDQbHTg57E&ab_channel=IGNITEGKI 
Kabulkanlah,"Vicky Salamor, Putri Siagian",2024,Oei Production,Pop,"Tuhan luruskanlah jalan yang ia lalui Jauhkanlah dari segala godaan ini Tegukanlah iman di hatinya Hanyalah padamu Tuhanku selalu mengadu Akankah engkau mengabulkan doaku ini Tuhan tolong teguhkan imannya Tuhan maafkanlah dia dari segala dosanya Yang pernah menyakitkan hati sesamanya Tuhan maafkanlah dia dari segala dosanya Yang pernah menyakitkan hati sesamanya Sadarkanlah teguhkanlah, kuatkan iman di hatinya Oh Tuhan kabulkan doaku ini.", https://www.youtube.com/watch?v=WIQlOqBB-3w&ab_channel=OeiProduction
PenyertaanMu Sempurna,Vicky Salamor,2010,Pelita Utama,Pop,Bagai menabur angin pasti menuai badai Tanpa pertolonganMu semuanya tak berarti Bila  ku percaya jalan pasti terbuka Bahkan tak ku minta Tuhan sediakan Walau badai menghadang ku tetap berdiri melawan Sungguh ku percaya hanya didalam namaMu  Ku mampu lewati semua...  Lingkupi aku oh Tuhan dengan Kuasa RohMu yang Dahsyat Sampai detik ini slalu kurasakan PenyertaanMu sempurna, 
Bersyukurlah,Mission Singers,2014,Maranatha Indonesia,Pujian dan Penyembahan,Kasih Allahku sungguh telah terbukti ketika Dia serahkan anakNya kasih Allah mau berkorban bagi kau dan aku tak ada kasih seperti kasihNya bersyukur bersyukur bersyukurlah bersyukur karena kasih setiaMu ku sembah kusembah ku sembah dan ku sembah selama hidupku ku sembah Kau Tuhan,https://www.youtube.com/watch?v=x0-WFkE0rXc&ab_channel=MaranathaindonesiaOfficial 
Bapa Engkau Sungguh Baik,Gloria Trio,2010,Maranatha Indonesia,Pujian dan Penyembahan,Bapa Engkau sungguh baik kasihMu melimpah di hidupku Bapa ku berterima kasih berkatMu hari ini yang Kau sediakan bagiku kunaikkan syukurku buat hari yang Kau b'ri tak habis-habisnya kasih dan rahmatMu selalu baru dan tak pernah terlambat pertolonganMu besar setiaMu di s'panjang hidupku,https://www.youtube.com/watch?v=p7ZiiM9uhyE&ab_channel=MaranathaindonesiaOfficial 
Yesus Jalan Kebenaran & Hidup,Ir. Niko,1992,Maranatha Indonesia,Pujian dan Penyembahan,Yesus jalan kebenaran dan hidup Yesus Tuhan Allahku Tak seorangpun datang pada Bapa hanya melalui Dia. Yesus naik ke surga sediakan tempat bagi kita Dia segera datang menjemput umatNya dalam kemuliaanNya Haleluya Amin Haleluya Amin Haleluya Amin Haleluya Amin,https://www.youtube.com/watch?v=7qnlwwONjXY&ab_channel=MaranathaindonesiaOfficial 
Yesus Memberiku Kemenangan,Ir. Niko,2009,Maranatha Indonesia,Rohani,"Ku tidak takut s’bab Kau besertaku ku tidak bimbang s’bab Engkau Allahku Engkau meneguhkanku, bahkan menolongku Kau batu karangku Yesus Tuhan. Yesus memegangku dengan tangan kanan-Mu Yesus memberiku kemenangan Yesus memegangku dengan tangan kanan-Mu Yesus memberiku kemenangan",https://www.youtube.com/watch?v=qEpALB-dOvw 
Hanya Dekat Kasihmu Bapa,Debbie Great,2022,Unknown,Penyembahan,Hanya dekat kasihMu Bapa Jiwaku pun tentram Engkau menerimaku dengan sepenuhnya Walau dunia melihat rupa namun Kau memandangku Sampai kedalaman hatiku. Tuhan inilah yang ku tahu Kau mengenal hatiku Jauh melebihi semua yang terdekat sekalipun Tuhan inilah yang ku mau Kau menjaga hatiku Supaya kehidupan memancar senantiasa,https://www.youtube.com/watch?v=4kTg7D9w8ZE 
Kepadamu Kuberdoa,"Gretha Sihombing, Vicky Anakotta",2005,CMP,Pujian dan Penyembahan,"KepadaMu Ku Berdoa Dan Ku Pinta Ulurkanlah Tangan KasihMu Padaku Karena Ku Tahu Kau Selalu Disisiku O Tuhanku Dengarkanlah Doa Ku KepadaMu Berikanlah Dan Tunjukkan KuasaMu Tabahkanlah Dan Kuatkan Imanku Jadikanlah Aku Ini Hamba SetiaMu Agar Dapat Aku Hidup Selalu DisisiMu. Karena Ku Tahu, Ku Tahu Pasti O Tuhan Apapun Juga Di Dunia Ini Tanpa Kau Tuhan Semuanya Takkan Berarti. O Tuhanku Dengarkanlah Doaku KepadaMu", https://www.youtube.com/watch?v=ns1VyTNfY4o
Pujian Sejati,Franky Sihombing,2005,Maranatha Indonesia,Pujian dan Penyembahan,"MEMUJI-MU LEWAT SUARAKU T’RASA CUKUP BAGIKU. NAMUN SEMUA TERNYATA LEBIH DARI YANG ‘KU KIRA ‘KU HANYA PEDULI DIRIKU ‘KU TAK MAU TAHU RINDU-MU. TAK CUKUP HANYA ‘KU BERNYANYI MENGANGKAT SUARA ‘TUK MEMUJI HIDUP MEMBERI DIRI KEPADA-MU, ITU KERINDUAN-MU. TAK CUKUP MULUT YANG MEMUJI TAK CUKUP MULUT YANG BERNYANYI MELAKUKAN FIRMAN-MU ITULAH PUJIAN SEJATI",https://www.youtube.com/watch?v=X6sHkXilQwk 
Sungguh Indah,"Raguel Lewi, Kezia Amelia",2018,Penyembahan,Rohani,"Kemanakah Aku dapat pergi? menjauhi rohMu yang suci? Kau sahabat, dan Kau dekat. Bahkan seluruh pengabdianku tak bisa membalas kesetiaanMu sungguh mulia dan berharga. Sungguh besar pengorbananMu bagiku terlalu dalam untuk dimengerti sungguh besar. sungguh Indah yang Kau pikirkan tentangku tak terselami bagiku sungguh Indah",https://www.youtube.com/watch?v=1V1w7AwadrA 
Nun Di Bukit Yang Jauh,Herlin Pirena,2013,Maranatha Indonesia,Hymne,"Nun di bukit yang jauh tampak kayu salib Lambang kutuk, nestapa, cela. Salib itu tempat Tuhan Maha kudus Menebus umat manusia. Salib itu ku junjung penuh Hingga tiba saat ajalku Salib itu ku rangkul teguh Dan mahkota kelak milikku. Ku setia tetap ikut jalan salib Meski diriku pun dicela Satu saat kelak ku dibawa pergi Ke tempat kemuliaanNya Salib itu ku junjung penuh Hingga tiba saat ajalku Salib itu ku rangkul teguh Dan mahkota kelak milikku Dan mahkota kelak milikku",https://www.youtube.com/watch?v=-vZMte1CyIs 
